pathway	gene	weight
Androgen	TMPRSS2	11.4906307374
Androgen	NKX3-1	10.6225511027
Androgen	MBOAT2	10.4727329721
Androgen	KLK2	10.176185878
Androgen	SARG	11.3868523945
Androgen	SLC38A4	7.36380493768
Androgen	MTMR9	6.13064559946
Androgen	ZBTB16	10.6144369438
Androgen	KCNN2	9.4731988889
Androgen	OPRK1	-5.62607353634
Androgen	ADAM7	3.11174530687
Androgen	ABCC4	9.37428478112
Androgen	MYBPC1	4.60857869284
Androgen	EAF2	6.94490738852
Androgen	KLK3	14.6068407674
Androgen	OTULINL	7.7082177175
Androgen	PEX10	5.74946026182
Androgen	SI	-5.79500307445
Androgen	SNAI2	19.8215089854
Androgen	CAMKK2	3.73954403123
Androgen	BMPR1B	4.63408450531
Androgen	F5	6.087825897
Androgen	LIFR	8.6125146918
Androgen	MAK	5.31367285271
Androgen	GNMT	5.67263863695
Androgen	MPC2	5.88831328709
Androgen	CTNNA2	3.86912654352
Androgen	CLDN8	7.82616312833
Androgen	LRRFIP2	4.14418717192
Androgen	LRRC31	-5.18102258915
Androgen	LPAR3	5.84827847574
Androgen	SLC15A2	5.13992665138
Androgen	ELL2	6.5675774538
Androgen	IGF1R	5.01152202997
Androgen	DNM1L	4.18867959332
Androgen	LRIG1	6.62607205612
Androgen	SLITRK3	-3.32064361336
Androgen	KCNMA1	3.54241990608
Androgen	NPPC	4.04611571241
Androgen	ELK4	2.73317183336
Androgen	MRPS18A	3.92493588807
Androgen	CBLL1	5.32543758834
Androgen	AFF3	2.48009244085
Androgen	SGK1	12.8168418138
Androgen	STK39	6.93412462041
Androgen	PMEPA1	10.9989122239
Androgen	MALT1	6.66978209415
Androgen	CDK8	-4.29086828336
Androgen	CROT	4.35830672292
Androgen	PGC	4.7496332151
Androgen	STEAP4	9.19433931111
Androgen	NSMAF	3.28454451793
Androgen	GPR63	-3.22759309882
Androgen	TLL1	-2.46391807731
Androgen	MAF	5.86387138398
Androgen	DHCR24	6.84300840294
Androgen	FRK	4.70024893522
Androgen	CENPN	8.49101673326
Androgen	SORD	5.77756578443
Androgen	IQGAP2	5.12448342846
Androgen	MPHOSPH9	5.10619862739
Androgen	HOXC13	-3.63425580489
Androgen	CHRNA2	3.3317016194
Androgen	CTBP1	-2.89217188229
Androgen	KLF15	2.83253408437
Androgen	ACSL3	8.25821358567
Androgen	TPD52	4.54571137515
Androgen	SPDEF	3.75095128457
Androgen	FZD5	4.68661955181
Androgen	GRIK1	-1.64651345517
Androgen	CSGALNACT1	6.84603443294
Androgen	DNASE2B	3.01132858824
Androgen	PHF8	1.86964493558
Androgen	ARHGEF26	5.31107976025
Androgen	UAP1	7.62235942884
Androgen	ECI2	4.26810222296
Androgen	ADPRM	4.13348871896
Androgen	GRHL2	4.29572486397
Androgen	ENDOD1	6.51615227021
Androgen	NCAPD3	8.44090141153
Androgen	AZGP1	5.81835009695
Androgen	ACP3	-3.01472809845
Androgen	TSPAN3	-3.04694823602
Androgen	IGF1	2.68011765402
Androgen	PDE9A	2.90020939568
Androgen	SYTL2	-5.38953615735
Androgen	PPP2CB	2.35261800325
Androgen	MYNN	-2.91880437202
Androgen	RAB3B	4.39309957965
Androgen	SEC14L2	4.38852738911
Androgen	PSMD8	3.65732836091
Androgen	UBE2J1	3.76002103397
Androgen	FUT8	-4.40595359044
Androgen	PAK1IP1	7.6919315634
Androgen	MANEA	-4.00414637037
Androgen	GCG	-2.17133592689
Androgen	SELENOP	6.33678058131
Androgen	TRPM8	3.83541868895
Androgen	SCAP	2.92921089044
Androgen	MCCC2	2.80800480204
Androgen	NNMT	6.09032697311
Androgen	GREB1	5.56495649091
Androgen	ABHD2	5.229518364
Androgen	PNLIP	2.44136328553
Androgen	MAPK6	3.24653513246
Androgen	TNFAIP8	6.83059409493
Androgen	TMEM38B	-4.13283619758
Androgen	KALRN	-1.18918847198
Androgen	MPZL1	2.503403837
Androgen	ZBTB10	4.66305998722
Androgen	COLEC12	-3.87535587493
Androgen	DENND1B	-3.51973011425
Androgen	TRIM45	-2.4815293526
Androgen	RAB27A	4.18865850226
Androgen	GRB10	-4.89075851789
Androgen	AKAP5	2.36868028532
Androgen	SNRK	-2.28589368592
Androgen	KLK15	1.28276459453
Androgen	SAYSD1	-1.61029533463
Androgen	TRIM36	3.33793117497
Androgen	ORC5	3.28469858407
Androgen	PLA2G5	1.60273782257
Androgen	CHKA	3.74431578374
Androgen	ABCC1	3.44972478714
Androgen	PPP1CB	3.35835556015
Androgen	BARD1	-4.80969112827
Androgen	HEBP2	2.81694520151
Androgen	OLA1	2.33763911297
Androgen	TENM1	2.37952949137
Androgen	GALNT10	-2.97199575307
Androgen	CREBZF	-1.84097927528
Androgen	INPP4B	4.80451897788
Androgen	MAN1A1	-6.21456367095
Androgen	RARB	2.7037332567
Androgen	SLC43A1	4.03557670537
Androgen	PPFIBP2	2.94436167377
Androgen	ST6GALNAC5	-2.39871940096
Androgen	PCTP	3.41095116797
Androgen	PITX1	-2.68040248873
Androgen	IRS2	6.85366315869
Androgen	MYRIP	-3.01545080602
Androgen	FECH	2.56997936462
Androgen	SOCS2	4.66149336276
Androgen	MYCBP2	2.53763323677
Androgen	SLC35F2	4.53735066489
Androgen	MAPRE2	-1.92481153106
Androgen	TULP4	-3.19079944336
Androgen	ATP1A1	2.77926385092
Androgen	SEC24D	2.95807251287
Androgen	PTPN21	2.06260525556
Androgen	KCND2	2.76909126593
Androgen	TRPS1	-3.76135107079
Androgen	FICD	3.21752457891
Androgen	ZNF613	1.74072240514
Androgen	PFKFB2	1.89195656962
Androgen	TIPARP	8.33235975736
Androgen	EFCAB11	-1.68724970775
Androgen	CNGB3	1.07824343485
Androgen	ZBTB43	-3.14677333308
Androgen	SLC16A6	6.47193846835
Androgen	ATMIN	2.74457562546
Androgen	SPRYD7	2.27908159478
Androgen	NEDD4L	3.64754064957
Androgen	INSL5	-1.38488146249
Androgen	DBI	5.25429582369
Androgen	MAP9	3.21986327804
Androgen	DNAJB9	4.90128301361
Androgen	LIN7B	2.01617513997
Androgen	MID1	-3.30355895531
Androgen	PRKCH	3.08552297923
Androgen	LONRF1	2.31269620134
Androgen	NT5DC3	3.00507292311
Androgen	INTS8	-2.77270714922
Androgen	DIO1	-3.05812302105
Androgen	WNT7B	2.72154168855
Androgen	FAM110B	2.69257628281
Androgen	TUT7	2.48455310046
Androgen	HPGD	7.53897406539
Androgen	AMIGO2	-8.63080529272
Androgen	CPEB3	2.40572209123
Androgen	TAPT1	-1.42027667075
Androgen	CARTPT	1.18448677234
Androgen	TGM3	-1.80271650331
Androgen	ZBBX	-1.67411043802
Androgen	EFHC2	-1.70612091232
Androgen	TEX2	3.29953815655
Androgen	MTOR	1.5902665705
Androgen	ACSM1	1.1669406865
Androgen	ABCG2	-4.0165473862
Androgen	DCAF6	2.66396654933
Androgen	APOF	-1.30792748615
Androgen	SPTLC3	-2.80921636126
Androgen	BBX	2.96983477776
Androgen	LCP1	3.69256277711
Androgen	SLC19A2	5.2802632482
Androgen	DEGS1	5.09409858841
Androgen	LTN1	-2.45145984002
Androgen	STK17B	3.69386229774
Androgen	SEC24B	2.81452395167
Androgen	ACACA	2.29560033323
Androgen	SSR1	2.21951608034
Androgen	PARVA	2.05191252043
Androgen	GNAI1	3.33506333071
Androgen	PNMA1	3.46477927765
Androgen	GCFC2	3.10998663403
Androgen	GUCY1A1	2.68468055138
Androgen	SLC12A6	-2.69364780416
Androgen	CNGA1	-1.62093538099
Androgen	BMERB1	-2.08985897544
Androgen	ARHGAP6	1.78568950794
Androgen	APPBP2	2.98388803447
Androgen	MYLK	-3.09341914654
Androgen	FZD3	-2.98379494341
Androgen	MICU1	-2.34111100285
Androgen	TNFRSF10B	2.9047619247
Androgen	BCAP29	2.12459040854
Androgen	SERP1	2.07945113128
Androgen	SERPINI1	-3.49727417709
Androgen	EHF	3.17740626045
Androgen	ZNF350	1.93306551564
Androgen	LUZP2	-1.72833458159
Androgen	HOXB13	-2.19614292827
Androgen	CNKSR2	1.81552916332
Androgen	CHPT1	2.70747417305
Androgen	CYTH1	2.05235658595
Androgen	ADGRV1	-1.04444493964
Androgen	BCHE	-3.7747380705
Androgen	PTBP2	-2.01737422916
Androgen	MTMR2	2.13646736344
Androgen	HSD17B11	3.38981276512
Androgen	SPOCK1	4.06659802779
Androgen	PRR15L	3.8148997976
Androgen	GMPPA	1.81423577606
Androgen	ANKH	2.8727763393
Androgen	WDR44	1.65933530683
Androgen	RALB	-2.7136056361
Androgen	DGKH	-1.98986609522
Androgen	MAP7D1	2.53725242721
Androgen	ERP44	1.28062539593
Androgen	RNF43	-2.71153223536
Androgen	CCDC93	-1.70367008115
Androgen	RBFOX2	-1.41364504815
Androgen	KDELR2	2.30663488162
Androgen	LYVE1	5.51200140972
Androgen	ADAM22	-1.02603873533
Androgen	PKP4	-2.04715052488
Androgen	KLF5	5.16023531883
Androgen	ERN1	2.62980505762
Androgen	LPCAT4	-1.8180060553
Androgen	NDRG1	10.6219803008
Androgen	ATP11B	1.82642076165
Androgen	CREB3L2	2.1923341289
Androgen	HERPUD1	3.35136776356
Androgen	NAT1	4.36766134969
Androgen	SRP19	2.67846488051
Androgen	PLPPR1	-1.46434922314
Androgen	SYNJ1	2.07659998881
Androgen	GHR	4.77678266193
Androgen	HIPK2	2.87229300848
Androgen	TAOK3	2.08293403934
Androgen	NOVA1	-1.27304909761
Androgen	BMPR1A	2.36619063166
Androgen	DDX42	-1.7999277269
Androgen	ABCG1	-2.79240214286
Androgen	PRKCA	2.05003702997
Androgen	ZFHX3	1.59320191762
Androgen	NPC1	2.16840971584
Androgen	PRDX6	2.22400670798
Androgen	GPER1	-2.0719187497
Androgen	IL1R1	3.39643427486
Androgen	PDSS2	-0.9780308425
Androgen	EPB41L4B	1.34656840482
Androgen	GORASP2	1.92648208185
Androgen	GASK1B	-5.301028616
Androgen	MYH10	-2.59813156103
Androgen	PLPP2	-2.17133442791
Androgen	SLC20A2	-2.31873600468
Androgen	COBL	-2.28704554045
Androgen	PAK1	-1.93543786313
Androgen	TMEM47	3.5903229101
Androgen	CDC42EP3	4.79784377384
Androgen	ERGIC2	1.84324988036
Androgen	NDUFV1	-1.29549843003
